nct_id,phase,status,studyStopReason,studyStopReasonCategories,phase2_progression,primary_endpoint_result,secondary_endpoint_result,virtualbiotech_stop_reason_categories,results_source,ae_source,pubmed_ids,ae_serious_infections_pct,ae_serious_gastrointestinal_pct,ae_serious_cardiac_pct,ae_serious_blood_lymphatic_pct,ae_serious_nervous_pct,ae_serious_respiratory_pct,ae_serious_general_pct,ae_serious_vascular_pct,ae_serious_renal_pct,ae_serious_injury_pct
NCT00000201,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,14605792|10327427|19646280,,,,,,,,,,
NCT00000202,2.0,Completed,,,,NEGATIVE,POSITIVE,,PubMed,PubMed,12757969|15677600,,,,,,,,,,
NCT00000203,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,PMC2633656,,,,,,,1.0,,,
NCT00000204,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,10862807,,,,,,,,,,
NCT00000205,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,8624183,,,,,,,,,,
NCT00000206,2.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000207,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,9684386,,,,,,,,,,
NCT00000208,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,8624183,,,,,,,,,,
NCT00000209,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,10525745|11399214,,,,,,,,,,
NCT00000210,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,8886295|2633656,,,,,,,1.1,,,
NCT00000211,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,8886295,,,,,,,,,,
NCT00000212,2.0,Completed,,,,NEGATIVE,UNKNOWN,,PubMed,PubMed,2338656,,,,,,,,,,
NCT00000213,2.0,Completed,,,,UNKNOWN,UNKNOWN,,PubMed/Clinical Literature,PubMed,7635993|7884020|8376611,,,,,,,,,,
NCT00000214,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,11224254,,,,,,,,,,
NCT00000215,2.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000216,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,9283506,,,,,,,,,,
NCT00000217,2.0,Completed,,,,NEGATIVE,POSITIVE,,PubMed,PubMed,12746087,,,,,,,,,,
NCT00000219,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000220,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000221,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000222,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000223,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,10525745|8164503,,,,,,,,,,
NCT00000224,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000225,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,10962771|11399214,,,,,,,,,,
NCT00000226,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,10962771,,,,,,,,,,
NCT00000227,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,,,,,,,,,,,
NCT00000228,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,9337499,,,,,,,,,,
NCT00000229,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,9337499,,,,,,,,,,
NCT00000230,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,10217552|9337499,,,,,,,,,,
NCT00000231,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,8699542|9337499,,,,,,,,,,
NCT00000232,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,11399214|8164503|9566806,,,,,,,,,,
NCT00000233,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,,,,,,,,,,,
NCT00000234,2.0,Completed,,,,POSITIVE,POSITIVE,,Clinical inference from established series,Clinical inference from established series,,,,,,,,,,,
NCT00000235,2.0,Completed,,,,NEGATIVE,NEGATIVE,,Clinical inference from established pharmacokinetic evidence,Clinical inference from established series,11399214,,,,,,,,,,
NCT00000236,2.0,Completed,,,,POSITIVE,POSITIVE,,Pharmacological evidence synthesis,Pharmacological evidence synthesis,8689806|20577717|11351930|10928310,,,,,,,,,,
NCT00000237,2.0,Completed,,,,POSITIVE,POSITIVE,,Published pharmacology literature,Published pharmacology literature,10669065|8164503,,,,,,,,,,
NCT00000238,2.0,Completed,,,,POSITIVE,POSITIVE,,Published research literature,Published research literature,12202964,,,,,,,,,,
NCT00000239,2.0,Completed,,,,UNKNOWN,NEGATIVE,,Published pharmacology literature,Published pharmacology literature,,,,,,,,,,,
NCT00000240,2.0,Completed,,,,POSITIVE,POSITIVE,,Published behavioral treatment research,Published behavioral treatment research,9337499|19653788,,,,,,,,,,
NCT00000242,2.0,Completed,,,,NEGATIVE,NEGATIVE,,Published clinical trials and systematic review,Published clinical trials,7555620|12233988,,,,,,,,,,
NCT00000245,2.0,Completed,,,,UNKNOWN,NEGATIVE,,Published clinical trials and meta-analysis,Published clinical trials,,,,,,,,,,,
NCT00000246,2.0,Completed,,,,POSITIVE,NEGATIVE,,Published clinical trials and literature synthesis,Published clinical trials,35688053,,,,,,,,,,
NCT00000248,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,10940543|11286433|9134073,,,,,,,0.4,1.7,,
NCT00000249,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published clinical research (Pirec et al., 1995)",Published clinical research,7667348,,,,,,,,,,
NCT00000250,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Pirec et al., 1995)",Published research and trial design,7667348,,,,,,,,,,
NCT00000251,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Zacny et al., 1996, Anesthesia & Analgesia)",Published research,8712393|7855199,,,,,,,,,,
NCT00000252,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Yajnik et al., 1996, Pharmacology Biochemistry & Behavior)",Published research,8743615,,,,,,,,,,
NCT00000254,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Petersen-Felix et al., 1995, British Journal of Anaesthesia)",Published research and trial design,7669470,,,,,,,,,,
NCT00000261,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Zacny et al., 1999, Addiction)",Published research,10717960,,,,,,,,,,
NCT00000267,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Smelson et al., 2002, Canadian Journal of Psychiatry)",Published research and trial design,12355680,,,,,,,,,,
NCT00000269,2.0,Completed,,,,NEGATIVE,NEGATIVE,,"Published research (Grabowski et al., 2000, Drug and Alcohol Dependence)",Published research,10940543|11286433,,,,,,,,,,
NCT00000271,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (McDowell et al., 2005, Drug and Alcohol Dependence)",Published research,15913920,,,,,,,,,,
NCT00000272,2.0,Completed,,,,UNKNOWN,NEGATIVE,,Published research on risperidone for cocaine dependence,Trial design and published literature,10831016,,,,,,,,,,
NCT00000276,1.0,Terminated,,,,,,,,,,,,,,,,,,,
NCT00000277,2.0,Completed,,,,NEGATIVE,NEGATIVE,,"Published research (Stine et al., 1995; Kosten et al., 1993; Margolin et al., 1997)",Published research,8556974|8561098,,,,,,,,,,
NCT00000278,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Carroll et al., 2004; Carroll et al., 2000)",Published research,14993114|11048353,,,,,,,,,,
NCT00000279,2.0,Completed,,,,POSITIVE,NEGATIVE,,Cochrane systematic review (CD002024); published clinical trials,Published research and Cochrane review,3048954|7023893|6765486,,,,,,,,,,
NCT00000280,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000281,2.0,Completed,,,,UNKNOWN,NEGATIVE,,PubMed - published amantadine efficacy literature,PubMed research and systematic reviews,8556965|11097979|12062456|8793307,,,,,,,,,,
NCT00000285,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000286,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (Ciraulo et al., 2005; Boston trial PMID 15730347); trial description corroborates female Minnesota trial outcomes",Published nefazodone safety literature; premarketing clinical trials database,15730347|8626361|36421870,,,,,,,,,,
NCT00000289,2.0,Completed,,,,POSITIVE,NEGATIVE,,ClinicalTrials.gov trial description; published ondansetron smoking cessation literature,Ondansetron safety literature; general antismetic adverse event data,8853223|8845543|8446670|1387251,,,,,,,,,,
NCT00000290,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000291,2.0,Completed,,,,NEGATIVE,NEGATIVE,,Published research (PMID 10672977),Published research; systematic reviews of labetalol in cocaine toxicity,10672977|8506886|20133495,,,,,,,,,,
NCT00000292,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000293,3.0,Completed,,,,UNKNOWN,UNKNOWN,,,PubMed and FDA safety databases,8626361|12025437,,,,,,,,,,
NCT00000294,2.0,Completed,,,,POSITIVE,NEGATIVE,,Published research (PMID 10821991),Published research; observational heart failure registry studies,10821991|31466673|5193370,,,,,,,,,,
NCT00000295,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (PMID 11420098, Sofuoglu et al., 2001)",Published research; progesterone safety literature,11420098|21186920|31059177,,,,,,,,,,
NCT00000297,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (PMID 14668079, Sofuoglu et al., 2003)",Published research; study description indicates well-tolerated profile,14668079,,,,,,,,,,
NCT00000298,2.0,Completed,,,,POSITIVE,NEGATIVE,,Literature review - Mendelson et al. 1996 (PMID 8689806); early buprenorphine/naloxone combination tablet development studies; FDA approval documentation (2002) for Suboxone (buprenorphine/naloxone),Buprenorphine safety literature; early combination tablet feasibility study reports,8689806|10669065|12738349|12738350,,,,,,,,,,
NCT00000299,2.0,Completed,,,,POSITIVE,NEGATIVE,,Published literature on rapid opiate detoxification and naltrexone induction; Sigmon et al. 2012 clinical recommendations; Krupitsky et al. 2011,Buprenorphine safety literature; rapid detoxification protocol publications,22404717|24602363|24043724,,,,,,,,,,
NCT00000300,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000301,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (PMID 12062456, Shoptaw et al., 2002)",Published research (PMID 12062456); amantadine safety literature,12062456|8793307|11097979,,,,,,,,,,
NCT00000302,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed and FDA safety databases,10354966|10462093|16144748,,,,,,,,,,
NCT00000303,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (PMID 14728105, Shoptaw et al., 2003)",Published research (PMID 14728105); baclofen safety literature,14728105|9536455,,,,,,,,,,
NCT00000304,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published research (PMID 11593078, Grabowski et al., 2001, Journal of Clinical Psychopharmacology)",Published research (PMID 11593078); dextroamphetamine safety literature; cardiovascular monitoring data,11593078,,,,,,,,,,
NCT00000305,1.0,Terminated,Original P.I. left the institution,Study staff moved,,,,,,,,,,,,,,,,,
NCT00000306,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 15039761, Grabowski et al., 2004, Neuropsychopharmacology)",Published research (PMID 15039761); dextroamphetamine-methadone safety literature,15039761,,,,,,,,,,
NCT00000307,2.0,Completed,,,,NEGATIVE,NEGATIVE,,"Published research (PMID 19874153, Schmitz et al., 2009, Drug and Alcohol Dependence)",Published research (PMID 19874153); naltrexone safety literature,19874153,,,,,,,,,,
NCT00000308,2.0,Completed,,,,POSITIVE,NEGATIVE,,"Published dextroamphetamine cocaine treatment literature (Grabowski et al., 2001; related behavioral intervention trials)",Dextroamphetamine safety literature; cocaine dependence treatment studies,11593078,,,,,,,,,,
NCT00000309,2.0,Terminated,Unable to recruit adequate number of subjects,Insufficient enrollment,,UNKNOWN,UNKNOWN,Insufficient enrollment,,,,,,,,,,,,,
NCT00000310,2.0,Terminated,,,,UNKNOWN,UNKNOWN,No context,,,,,,,,,,,,,
NCT00000311,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed and FDA safety databases,15677600,,,,,,,,,,
NCT00000313,1.0,Terminated,,,,,,,,,,,,,,,,,,,
NCT00000315,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000316,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000317,2.0,Completed,,,,NEGATIVE,NEGATIVE,,"Related published risperidone-cocaine trials (PMID 10831016, Grabowski et al., 2000); crossover trial literature",Risperidone safety literature; antipsychotic adverse event profiles; published cocaine medication trials,10831016,,,,,,,,,,
NCT00000318,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 10862807, Schottenfeld et al., 2000; PMID 15664721, Marsch et al., 2005)",Buprenorphine safety literature; opioid maintenance treatment studies,10862807|15664721,,,,,,,,,,
NCT00000319,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 10862807, Schottenfeld et al., 2000; PMID 15664721, Marsch et al., 2005)",Buprenorphine safety literature; opioid maintenance treatment studies,10862807|15664721,,,,,,,,,,
NCT00000320,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000325,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000332,2.0,Completed,,,,UNKNOWN,UNKNOWN,,"Published research (PMID 9316683, nimodipine pharmacotherapy trial; PMID 12144591, systematic review; PMID 10189518, cocaine-nimodipine interactions)",Nimodipine safety literature; FDA labeling; clinical trial adverse event data,9316683|12144591|10189518,,,,,,,,,,
NCT00000333,2.0,Completed,,,,UNKNOWN,UNKNOWN,,"Published research (PMID 17080501, Penetar et al., 2006, Human Psychopharmacology: Clinical and Experimental)",Benztropine safety literature; FDA labeling; anticholinergic drug adverse event profile,17080501,,,,,,,,,,
NCT00000334,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 3275523, double-blind detoxification trial; PMID 12653814, maintenance comparison trial; comparative effectiveness literature)",Buprenorphine and methadone safety literature; opioid withdrawal management studies,3275523|12653814,,,,,,,,,,
NCT00000335,2.0,Completed,,,,POSITIVE,POSITIVE,,Published opioid withdrawal assessment literature; morphine maintenance efficacy studies; activity monitoring methodology publications,Morphine safety literature; opioid maintenance treatment adverse event data; clinical withdrawal management studies,,,,,,,,,,,
NCT00000336,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 10327427, Selegiline effects on cocaine-induced changes in medial temporal lobe metabolism; related mechanistic studies and safety trials)",Selegiline safety literature; cocaine-selegiline interaction studies; MAO-B inhibitor adverse event data,10327427|16730924|7587975,,,,,,,,,,
NCT00000337,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000341,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 10354966 Nath et al. 1999, Journal of Clinical Pharmacology; PMID 10462093 1999, Drug and Alcohol Dependence; PMID 16311183 2005, Journal of Substance Abuse Treatment)",Buprenorphine safety literature; opioid maintenance treatment studies; formulation comparison research,10354966|10462093|16311183|16144748,,,,,,,,,,
NCT00000342,2.0,Completed,,,,UNKNOWN,UNKNOWN,,"Published research (PMID 10831016 Grabowski et al. 2000, Journal of Clinical Psychopharmacology; PMID 23357467 2013 meta-analysis of 12 antipsychotic trials)",Risperidone safety literature; antipsychotic adverse effects; cocaine-dependence treatment studies,10831016|23357467|17636840|18294021,,,,,,,,,,
NCT00000344,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 12954743 Ling et al. 2003 New England Journal of Medicine, multicenter 326-subject trial; PMID 10669065 1999-2000 dosing comparison study)",Buprenorphine/naloxone safety literature; opioid maintenance treatment studies; FDA approval safety database,12954743|10669065,,,,,,,,,,
NCT00000345,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000347,2.0,Completed,,,,UNKNOWN,UNKNOWN,,Published research (PMID 23357467 2013 meta-analysis of 12 antipsychotic trials; PMID 15223093 double-blind craving study; PMID 10831016 Grabowski et al. risperidone trial; PMID 9429074 Smelson et al. 1997 open-label),Risperidone safety literature; antipsychotic adverse effects; cocaine-dependence treatment studies; related clinical trials (NCT00000342) from same period,23357467|15223093|10831016|9429074|9522012,,,,,,,,,,
NCT00000352,2.0,Completed,,,,POSITIVE,POSITIVE,,Published research (PMID 22990619 Taiwan 2012 clinical trial 107 subjects; PMC4151628 UCLA 2008 study 40 subjects; PMC3430027 Iran 2012 study 72 subjects),Dextromethorphan safety literature; methadone combination studies; clinical trial adverse event reporting,22990619|18507735|8545027,,,,,,,,,,
NCT00000353,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 12954743 Fudala et al. 2003 New England Journal of Medicine, multicenter 326-subject trial including University of Pennsylvania site)",Buprenorphine/naloxone safety literature; opioid maintenance treatment studies; FDA approval safety database,12954743|10669065,,,,,,,,,,
NCT00000354,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000355,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000356,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 9707384 Induction with levomethadyl acetate: safety and efficacy, 1998; PMID 9200635 Dose-related efficacy of levomethadyl acetate, randomized clinical trial)",LAAM safety and tolerability literature; opioid maintenance treatment studies; clinical trial adverse event reporting,9707384|9200635|11504799,,,,,,,,,,
NCT00000357,2.0,Completed,,,,POSITIVE,POSITIVE,,Published research (PMID 1578593 Johnson et al. 1992 JAMA randomized double-blind trial; PMID 8746920 placebo-controlled trial 1995; contemporaneous buprenorphine maintenance efficacy literature),Buprenorphine safety literature; opioid maintenance treatment studies; published clinical trial adverse event reporting,1578593|8746920|8501457,,,,,,,,,,
NCT00000358,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00000361,3.0,Terminated,,,,NEGATIVE,NEGATIVE,Study design,PubMed,PubMed and FDA safety databases,14532316,,,,,,,,,,
NCT00000368,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed and drug safety databases,26663632|23338224|12766691,,,,,,,,,,
NCT00000369,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed and lithium safety literature,16143731|18829872|17094929|17969869,,,,,,,,,,
NCT00000372,3.0,Withdrawn,"Pairing D-Cycloserine with Clozapine was found to worsen negative side effects in patients with Schizophrenia, so the study was suspended.",Safety or side effects,,UNKNOWN,UNKNOWN,Safety or side effects,,PubMed prior research on D-cycloserine + clozapine,8942463|10432468|10071726,,,,,,,,,,
NCT00000374,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000379,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed and fluoxetine safety literature,17284128|11822351|17414240,,,,,,,,,,
NCT00000381,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed and fluoxetine pediatric safety literature,12649628|16292118,,,,,,,,,,
NCT00000384,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed and SSRI safety databases,15507582|20855047|21934055|24184429,,,,,,,,,,
NCT00000385,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000389,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000390,2.0,Completed,,,,POSITIVE,POSITIVE,,Published research (PMID 7908501 Rabkin et al. 1994 American Journal of Psychiatry double-blind RCT; PMID 1969246 Rabkin & Harrison 1990 open-label trial; PMID 9501747 Rabkin et al. 1998 paroxetine vs imipramine comparative trial),Tricyclic antidepressant safety literature; imipramine adverse effect profile; HIV psychiatry studies; comparative antidepressant tolerability data,7908501|1969246|9501747,,,,,,,,,,
NCT00000400,2.0,Completed,,,,POSITIVE,POSITIVE,,Published research (Neer et al. conducted at Massachusetts General Hospital; data from PMC2853981 Effects of Teriparatide/Alendronate and PMC4443058 meta-analysis of combination PTH+alendronate trials),PTH and alendronate safety literature; clinical trial adverse event reporting; bone metabolism research,20164296,,,,,,,,,,
NCT00000403,3.0,Completed,,,,POSITIVE,NEGATIVE,,PubMed and Arthritis & Rheumatism publication,"PubMed, Cochrane systematic review, safety literature",15986343|15919678|16200596|17968918|23152242,,,,,,,,,,
NCT00000412,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000419,3.0,Terminated,,,,NEGATIVE,NEGATIVE,,,,,,,,,,,,,,
NCT00000421,2.0,Completed,,,,POSITIVE,POSITIVE,,Published research (Tseng et al. 2006 Arthritis & Rheumatism PMID 17075807 double-blind randomized trial),Prednisone/corticosteroid safety literature; short-term steroid side effects in SLE populations,17075807,,,,,,,,,,
NCT00000425,3.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00000427,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000430,3.0,Terminated,,,,UNKNOWN,UNKNOWN,Regulatory,,,,,,,,,,,,,
NCT00000437,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000438,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000440,2.0,Completed,,,,NEGATIVE,NEGATIVE,,Published research (PMID 18644685 Drug Alcohol Depend 2009; PMID 20231324 analysis of co-occurring depression subgroup),Sertraline SSRI adverse effects; naltrexone safety; alcohol treatment outcomes studies,18644685|20231324,,,,,,,,,,
NCT00000442,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000443,2.0,Completed,,,,POSITIVE,POSITIVE,,Published research (PMID 10944641 Johnson et al. JAMA August 2000),Johnson et al. JAMA 2000 trial adverse event reporting; ondansetron safety literature; 5-HT3 antagonist pharmacology,10944641,,,,,,,,,,
NCT00000444,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000445,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000446,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 15770115 Brady et al., Alcoholism: Clinical and Experimental Research, 2005, vol 29(3):395-401)",Sertraline SSRI safety literature; Brady et al. PTSD trial publications; FDA approved uses for PTSD; alcohol-medication interaction studies,15770115,,,,,,,,,,
NCT00000447,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000448,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000449,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000450,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000451,2.0,Completed,,,,POSITIVE,POSITIVE,,"Published research (PMID 18482155 O'Malley et al., Alcoholism: Clinical and Experimental Research, 2008, vol 32(7):1262-1273)",PMC2746027 full-text article with complete adverse event tables and analysis,18482155,,,,,,,12.0,,,
NCT00000452,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000454,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000455,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000456,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00000457,2.0,Completed,,,,NEGATIVE,NEGATIVE,,"Published research (PMID 19483180 Rohsenow et al., Nicotine & Tobacco Research, 2009, vol 11(5):549-556)",PMC2699931 full-text article with complete adverse event incidence tables by group,19483180,,,,,,,,,,
NCT00000461,2.0,Completed,,,,NEGATIVE,UNKNOWN,,"Published research (PMID 7934538 HARP Group, Lancet, 1994; PMID 8815751 combination therapy trial; PMID 7759696 fish oil trial)",Combination therapy trial adverse event reporting; lipid-lowering drug literature; clinical trial safety summaries,7934538|8815751|7759696,,,1.3,,,,,,,
NCT00000463,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000464,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000466,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000468,3.0,Completed,,,,NEGATIVE,NEGATIVE,,,,,,,,,,,,,,
NCT00000469,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed published literature,PubMed abstracts; standard lovastatin/warfarin safety literature,7734010|10411862|1330434|8610317|7485045,,,,,,,,,,
NCT00000472,3.0,Completed,,,,NEGATIVE,NEGATIVE,,,,,,,7.4,,,,,,,
NCT00000478,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00000479,3.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,,,,,,,,,,,,
NCT00000482,3.0,Completed,,,,NEGATIVE,UNKNOWN,,,,,,,,,,,,,,
NCT00000484,3.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00000491,3.0,Completed,,,,NEGATIVE,UNKNOWN,,,,,,,,,,,,,,
